NIDID,Office,gage,gagedFlowl,NHDWaterbo,lakeLink,RFC,Reviewer,Status,Corrected_,Comments
CO01281,NWDM,CHFI.Flow-Out.Inst.1Hour.0.Best-NWO,188657,188031,188743,MBRFC,KMS, ,0,This is total Outflow
CO01280,NWDM,CHCR.Flow-Out.Inst.1Hour.0.Best-NWO,230705,229217,230705,MBRFC,KMS, ,0,There is a DA gage on the next downstream flowline
CA00265,SPK,SJR TUL-Tulloch-Stanislaus R.Flow-Res Out.Ave.~1Day.1Day.Calc-usbr,349887,347987,349887,CNRFC,SK, ,349887,Moved to lake outlet. Good lake assoc.
OK10313,SWT,HEYB.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,373089,371555,373089,ABRFC,MC, ,0, 
OK10316,SWT,CANT.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,390140,389804,390140,ABRFC,MC, ,390140,Moved to lake outflow from interior flowline. DA gage two flowlines downstream
OK10311,SWT,TENK.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,402464,402142,402464,ABRFC,LKR, ,0,Tenkiller Lake
OK02504,SWT,THUN.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,482124,481656,482124,ABRFC,MC, ,0,DA gage two flowlines downstream
KY03027,LRL,Buckhorn.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp,487134,486928,487986,OHRFC,GID 2, ,0, 
OK10300,SWT,HUGO.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,592836,591880,592836,ABRFC,LKR, ,592836,Hugo Lake; link is inside WB. FlowlineID 592836 is the outlet link.
PCLO2,SWT,PINE.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,617464,617546,617698,ABRFC,LKR, ,0,Pine Creek Lake
OK10307,SWT,BROK.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,630139,630011,630371,ABRFC,MC, ,0, 
OK02502,SWT,FCOB.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,683617,681831,683617,ABRFC,MC, ,0,DA gage one flowline downstream
KS00009,NWDM,PERY.Flow-Out.Ave.1Day.1Day.Best-NWK,747785,746373,748101,MBRFC,MC, ,0,co-located with a USGS DA 06890900
OK10302,SWT,NEWT.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,833544,832544,833542,ABRFC,LKR, ,0,Newt Graham
OK20508,SWT,BIRC.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,846662,846266,846662,ABRFC,MC, ,0, 
KY03029,LRH,Dewey-Outflow.Flow.Inst.1Hour.0.OBS,886789,885333,886789,OHRFC,GID 2, ,0, 
CO00050,SPA,Trinidad-Trinidad DS.Flow.Inst.~1Hour.0.MRS,938210,936750,938210,ABRFC,LKR, ,938210,move to lake outlet; gaged flowline is directly downstream ; Trinidad Lake
CO00299,SPA,Pueblo.Flow.Inst.~1Hour.0.ResData,952539,950159,952539,ABRFC,LKR, ,952539,move to lake outlet link; current is interior
TX00020,MVK,Jferson_BigC_Bay.Flow.Inst.15Minutes.0.DCP-rev,1011780,1010832,1011780,LMRFC,KMS, ,0,Keeping gage this beacuse high temporal res outflow data (15 minutes vs JFNT2 1 hrs)
KY03028,LRH,Fishtrap-Outflow.Flow.Inst.1Hour.0.OBS,1089105,1086587,1089105,OHRFC,GID 2, ,0,Linked to interior flowline.
VA195001,LRH,NoFkPound-Outflow.Flow.Inst.1Hour.0.OBS,1089209,1086597,1089209,OHRFC,GID 2, ,0, 
TX00015,SWF,TBLT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1111449,1111211,1111447,WGRFC,MC, ,0,DA gage one flowline downstream
TX00021,SWF,TXKT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1128563,1127701,1128669,LMRFC,KMS, ,0,There is a DA gage two flowlines downstream
TX00011,SWF,JSPT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1159213,1158647,1159739,WGRFC,MC, ,0, 
TX00003,SWF,BNBT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1269108,1267968,1269108,WGRFC,MC, ,0,DA gage one flowline downstream
TX00007,SWF,LVNT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1292396,1291638,1292396,WGRFC,KMS, ,0, 
TX00699,SWF,BCAT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1306447,1304859,1306447,WGRFC,MC, ,0, 
CO01691,SPK,Paonia.Flow-Res Out.Ave.~1Day.1Day.Raw-USBRSLC;MANUAL,1338026,1336910,1338026,CBRFC,SK, ,0,There is a DA gage on the next downstream flowline
TX00001,SWF,BDWT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1446926,1445978,1447048,WGRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 08063800
MO12084,NWDM,SMIE.Flow-Out.Ave.1Day.1Day.Best-NWK,2530631,2529647,2530631,MBRFC,KMS, ,0,There is a DA gage 2 flowlines downstream
TX00002,SWF,BLNT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,2572334,2571688,2572334,WGRFC,MC, ,0,DA gage three flowlines downstream
PA00011,NAP,PromptonDS.Flow.Inst.1Hour.0.Rev-DCP,2739772,2739068,2739824,MARFC,MC, ,0,"Removed """"""""DSPRP.""""""""  because there are very high negative values (-2147480957).  redundant with DSPRP.Flow-Reg.Inst.1Hour.0.DCP-rev"
CA10186,SPK,SAC SHA-Shasta Dam-Sacramento R.Flow-Res Out.Ave.~1Day.1Day.Calc-usbr,2782699,2781987,7966205,CNRFC,SK, ,0, 
MT00560,NWDM,HSMT.Flow.Inst.1Hour.0.Best-NWDM,3024846,3022162,3024850,MBRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 06065500
MT00134,NWDM,HEBN.Flow-Out.Ave.1Day.1Day.Raw-USBR,3059980,3056866,3059980,MBRFC,MC, ,0,DA gage two flowlines downstream
OK02503,SWT,FOSS.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,678897,3140356,3142766,ABRFC,LKR, ,0,"gaged flowline below, link 678895."
CO01675,SPK,Blue Mesa.Flow-Res Out.Ave.~1Day.1Day.Raw-USBRSLC;MANUAL,3254269,3252975,3254269,CBRFC,KMS, ,0, 
OH00008,LRH,DeerCr-Outflow.Flow.Inst.1Hour.0.OBS,3484055,3483493,3484527,OHRFC,GID 2, ,0, 
TX00004,SWF,SMCT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,3589578,3588682,3589578,WGRFC,MC, ,0,DA gage two flowlines downstream
KS00026,NWDM,CLIN.Flow-Out.Ave.1Day.1Day.Best-NWK,24668460,3730511,24668460,MBRFC,MC, ,0,DA gage seven flowlines downstream
AR01200,SWL,Gillham_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,3745746,3745418,3746224,ABRFC,MC, ,0, 
AR01202,SWL,Dierks_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,3745814,3745478,3746252,ABRFC,KMS, ,0,Redundant with Dierks_Saline_R. Dierks_Saline_R is not in the list. SK
AR01201,SWL,DeQueen_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,3745840,3745526,3746272,ABRFC,MC, ,0, 
PA01939,LRP,LakeLynn-Outflow.Flow.Inst.1Hour.0.OBS,3773975,3773141,3773977,OHRFC,GID 2, ,0, 
CA00173,SPK,SJR CMN-Camanche Res-Mokelumne R.Flow-Res Out.Ave.~1Day.1Day.MANUAL,3953573,3950979,3953573,CNRFC,MC, ,0, 
WV09901,LRH,EastLynn-Outflow.Flow.Inst.1Hour.0.OBS,3964916,3964366,3964916,OHRFC,GID 2, ,0,Linked to interior flowline.
OH00028,LRL,CJBrown.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp,3985570,3984810,3985570,OHRFC,GID 2, ,0, 
KY03007,LRL,Green.Flow-Outflow.Inst.0.0.lrldlb-comp,4003242,3999688,4003242,OHRFC,GID 2, ,0, 
KY03011,LRL,Nolin.Flow-Outflow.Inst.0.0.lrldlb-comp,4005074,4003290,4005074,OHRFC,KMS, ,0, 
MN00581,MVP,Highway75_Dam-ServiceSpillway.Flow-Out.Inst.~1Day.0.CEMVP-Legacy,4086200,4083202,4085966,NCRFC,MC, ,0, 
MN00579,MVP,MarshLake_Dam.Flow.Inst.1Hour.0.Fcst-CEMVP,4086016,4083248,4086000,NCRFC,MC, ,0, 
TX00009,SWF,DAWT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,4133217,4132531,4133643,WGRFC,MC, ,0,DA gage one flowline downstream
MT00569,NWDM,CLCA.Flow-Out.Ave.1Day.1Day.Raw-USBR,4165978,4167440,4170578,MBRFC,KMS, ,0, 
MT00905,NWDM,LRMT.Flow-Out.Ave.1Day.1Day.Raw-USBR,4169038,4167460,4170626,MBRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 06012500
PA00008,NAP,WhiteHaven.Flow.Inst.1Hour.0.Rev-DCP,4186403,4185065,4186393,MARFC,MC, ,0,link is co-located with USGS DA gauge 01447800;  name: Francis E. Walter Dam
PA00010,NAP,BeltzvilleDS.Flow.Inst.1Hour.0.Rev-DCP,4187341,4186689,4188143,MARFC,KS, ,0,"SK removed """"""""Beltzville.Flow"""""""" because it is computed flow. redundant with Beltzville.Flow-In.Inst.1Hour.0.Computed.link is co-located with USGS DA gauge 01449800"
WV06702,LRH,Summersville-Outflow.Flow.Inst.1Hour.0.OBS,4548090,4547794,4548090,OHRFC,GID 2, ,0, 
