OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
0,800017928,-155.092785179999993,19.725758964800001,-155.091523512999999,19.725797830800001,o,i,1,0,-155.091971768999997,19.725741392800000,HI-1
1,800010982,-155.594377159999993,20.112291622899999,-155.590912492999990,20.119639955499999,o,i,1,0,-155.592809743000004,20.116090104700000,HI-2
2,800001944,-155.598379359999996,20.110177155999999,-155.595367692999986,20.112032622899999,i,o,-1,0,-155.596371524999995,20.111773755900000,HI-3
3,800008770,-155.601279959999999,20.107391423199999,-155.598379359999996,20.110177155999999,o,i,1,0,-155.599915844000009,20.108668976099999,HI-4
4,800000020,-155.773496891000008,19.968742232899999,-155.827895557000005,19.980600566300001,o,i,1,0,-155.826442797999988,19.980312098300001,HI-5
5,800013063,-155.986354092999989,19.638457853799999,-155.989060158999990,19.637923453900001,o,i,1,0,-155.989052073000011,19.637925133900001,HI-6
6,800010963,-155.606112518999993,18.991625276600001,-155.602518586000002,18.971673410400001,o,i,1,0,-155.602504315000004,18.984734658800001,HI-7
7,800006481,-155.677594719000012,18.936281613799999,-155.683337918999996,18.922813281600000,o,i,1,0,-155.682516193999987,18.922810554600002,HI-8
8,800001905,-155.647314985999998,18.935656880100002,-155.646696119000012,18.935563213100000,o,i,1,0,-155.646794279000005,18.935584168100000,HI-9
9,800004193,-155.653675119000013,18.952098612499999,-155.642485185999988,18.935281679999999,o,i,1,0,-155.643964383999986,18.936791174000000,HI-10
10,800006501,-155.644748319000001,18.957364812100000,-155.633841386000000,18.943585612400000,o,i,1,0,-155.634576036999988,18.944909328400001,HI-11
11,800017584,-155.654414384999995,18.961009879100001,-155.633841386000000,18.943585612400000,o,i,1,0,-155.635038307999992,18.944167050400001,HI-12
12,800010940,-155.652839918000012,18.968423678800001,-155.632748386000003,18.942561612399999,o,i,1,0,-155.633943262000003,18.945829537300000,HI-13
13,800006510,-155.639385118999996,18.959978278800001,-155.629472985999996,18.947635612100001,o,i,1,0,-155.629723189999993,18.948279299100001,HI-14
14,800015369,-155.629372518999986,18.955159878800000,-155.626364985999999,18.952869278800001,o,i,1,0,-155.626915051999987,18.952854517799999,HI-15
15,800017590,-155.639329118000006,18.978675810999999,-155.621492719000003,18.965959211099999,o,i,1,0,-155.622486000000009,18.967063274099999,HI-16
16,800008734,-155.638728385000007,18.973386211200001,-155.621492719000003,18.965959211099999,o,i,1,0,-155.622771172000000,18.966062377099998,HI-17
17,800013161,-155.635265984999990,18.985065277600000,-155.615386118999993,18.972533477700001,o,i,1,0,-155.617125581000010,18.975523470599999,HI-18
18,800013162,-155.641335317999989,18.986150810700000,-155.615386118999993,18.972533477700001,o,i,1,0,-155.618618722000008,18.972754487700001,HI-19
19,800008749,-155.614145519000004,18.981274677199998,-155.612302319000008,18.972639077600000,o,i,1,0,-155.613398186000012,18.978754476300001,HI-20
20,800010998,-155.534146117000006,19.135105601399999,-155.524431983999989,19.113522602100002,o,i,1,0,-155.524521821000008,19.117031765000000,HI-21
21,800002042,-155.333115784999990,19.269022056800001,-155.310831519999994,19.247631590299999,o,i,1,0,-155.312141086999986,19.250633390200001,HI-22
22,800017746,-155.310263786000007,19.263077856599999,-155.301441186000005,19.258370656600000,o,i,1,0,-155.303266108000003,19.258354665599999,HI-23
23,800011260,-155.083646581000011,19.702163365699999,-155.080172180999995,19.714177365099999,o,i,1,0,-155.081257090999998,19.708730550300000,HI-24
24,800006794,-155.102187114000003,19.708287231800000,-155.076644114000004,19.720492964700000,o,i,1,0,-155.086537044000011,19.718814158000001,HI-25
25,800013451,-155.099775779999987,19.732551230700000,-155.088943580000006,19.732856630400001,o,i,1,0,-155.089803432999986,19.732646385500001,HI-26
26,800011224,-155.125015778999995,19.744897164600001,-155.090420779999988,19.734117164400001,o,i,1,0,-155.090683014999996,19.734036612400001,HI-27
27,800015703,-155.097046978999998,19.792216428000000,-155.089840379000009,19.792575761900000,o,i,1,0,-155.090198097000012,19.792523444899999,HI-28
28,800015672,-155.132918711000002,19.800776162300000,-155.090273179000008,19.804203561400001,o,i,1,0,-155.090358807999991,19.804151544400000,HI-29
29,800011266,-155.090483110999998,19.833350226099999,-155.084623778000008,19.830554560100001,o,i,1,0,-155.084838800000000,19.830622332099999,HI-30
30,800013467,-155.089811978000000,19.850236159400001,-155.083859778000004,19.851657759199998,o,i,1,0,-155.084306061999996,19.851710473200001,HI-31
31,800017924,-155.098706310000011,19.861559024999998,-155.095547509999989,19.865072424800001,o,i,1,0,-155.095615729000002,19.864550374800000,HI-32
32,800006790,-155.122252309999993,19.853166359799999,-155.098679177000008,19.868050157700001,o,i,1,0,-155.098974878000007,19.867038983800001,HI-33
33,800002201,-155.160509708000006,19.923706356499999,-155.155456175000012,19.928390756199999,o,i,1,0,-155.155545474000007,19.928278139200000,HI-34
34,800011313,-155.190813574000003,19.907004424800000,-155.157580375000009,19.932052023099999,o,i,1,0,-155.157946264999993,19.931979328099999,HI-35
35,800015602,-155.189917707000006,19.918449957299998,-155.169606907000002,19.940922222899999,o,i,1,0,-155.169650364999995,19.940690900900002,HI-36
36,800015749,-155.204371173999988,19.920606824400000,-155.179527107000013,19.949670555699999,o,i,1,0,-155.179728116000007,19.949480594699999,HI-37
37,800002068,-155.247247103999996,19.988148755200001,-155.241502104000006,19.993887221900000,o,i,1,0,-155.243382725000004,19.992343189000000,HI-38
38,800013304,-155.282964569000001,19.997032555499999,-155.266818769999986,20.010571754600001,o,i,1,0,-155.266911037000000,20.010511674600000,HI-39
39,800015510,-155.330417901999994,20.030635421900001,-155.328799368000006,20.036404621599999,o,i,1,0,-155.328818915999989,20.036313696600001,HI-40
40,800004334,-155.340422101999991,20.018930955599998,-155.331846101999986,20.038633621500001,o,i,1,0,-155.331883261000002,20.038593600500000,HI-41
41,800011076,-155.355126100999996,20.033663822200001,-155.350621901000011,20.048626554399998,o,i,1,0,-155.350664107000000,20.048556720400001,HI-42
42,800004319,-155.375015901000012,20.024992822900000,-155.355631901000010,20.050050954400000,o,i,1,0,-155.355764746000006,20.049960222500001,HI-43
43,800017722,-155.410931898999991,20.075140954300000,-155.409912165000009,20.077216021200002,o,i,1,0,-155.409992791000008,20.077112882200002,HI-44
44,800015478,-155.421033964999992,20.074057354499999,-155.418178764999993,20.082699154099998,o,i,1,0,-155.418577464000009,20.082316919099998,HI-45
45,800017705,-155.449568497000001,20.075614022000000,-155.441163297000003,20.092215821100002,o,i,1,0,-155.441369532000010,20.091957281100001,HI-46
46,800004266,-155.497037296000002,20.093000421999999,-155.491637161999989,20.108661621200000,o,i,1,0,-155.491791704000008,20.108357297200001,HI-47
47,800013232,-155.537014961000011,20.104156822200000,-155.528424961000013,20.118774554400002,o,i,1,0,-155.528826807999991,20.118495965400001,HI-48
48,800004151,-155.780778553000005,20.232384153500000,-155.775943885999993,20.242657419899999,o,i,1,0,-155.775742683999994,20.241734296899999,HI-49
49,800015314,-155.796345285999990,20.216806421499999,-155.776521153000004,20.242272419900001,o,i,1,0,-155.777115344999999,20.241444381000001,HI-50
50,800008645,-155.882385884000001,20.215637622999999,-155.898220882999993,20.231537155500000,o,i,1,0,-155.896508778999987,20.229434314599999,HI-51
51,800017520,-155.859993886000012,20.125002227000000,-155.884444685999995,20.116175560900000,o,i,1,0,-155.883293108999993,20.116710358799999,HI-52
52,800013080,-155.851336687000014,20.105556027799999,-155.874963752000014,20.094701828700000,o,i,1,0,-155.874408961000000,20.095407594699999,HI-53
53,800004125,-155.843644353999991,20.094794961200002,-155.865224887000011,20.080387962200000,o,i,1,0,-155.864486395999990,20.080611185199999,HI-54
54,800013079,-155.847897286999995,20.077867629099998,-155.858139953999995,20.072906762500001,o,i,1,0,-155.857197731000014,20.073366409399998,HI-55
55,800013083,-155.814670487999990,20.080734561300002,-155.847956487999994,20.060732162899999,o,i,1,0,-155.847523157000012,20.061817874799999,HI-56
56,800015293,-155.815251555000003,20.064182029099999,-155.839859488000002,20.050834630200001,o,i,1,0,-155.839536070999998,20.051315999200000,HI-57
57,800004529,-155.782707289000001,20.069689628300001,-155.838415088000005,20.049470230200001,o,i,1,0,-155.838136910000003,20.049687695199999,HI-58
