OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
0,800028092,-66.923946403100004,18.398496785700001,-66.965124949800000,18.455392467799999,o,i,1,0,-66.968465286799997,18.453661235199998,PRVI-1
1,800028780,-66.688236011300006,18.408806996399999,-66.683513210000001,18.415413245500002,o,i,1,0,-66.688084916299999,18.410014587799999,PRVI-2
2,800029217,-66.347154337999996,18.422893494000000,-66.350255619099997,18.430465104200000,o,i,1,1,-66.347212511099997,18.427623750399999,PRVI-3
3,800033188,-66.613709309200004,18.463093009600001,-66.622917644599994,18.435682601400000,i,o,-1,0,-66.613927184199994,18.459389764499999,PRVI-4
4,800039820,-66.493595404399997,18.423981600000001,-66.498729673000000,18.427911667099998,o,i,1,0,-66.495849403099996,18.425621667400002,PRVI-5
5,800037363,-66.737023891299998,18.456186537600001,-66.725789963899999,18.461524725299999,o,i,1,0,-66.735971470999999,18.458570533300001,PRVI-6
6,800030981,-66.662189456600004,18.428763798700000,-66.681151129800000,18.448513270199999,o,i,1,0,-66.673624328399995,18.443457782900001,PRVI-7
7,800039465,-66.785158095300005,18.463240206900000,-66.765808355600001,18.482405412799999,o,i,1,0,-66.768176551200000,18.474983414600000,PRVI-8
8,800028093,-66.797639699200005,18.466394473600001,-66.789542763100002,18.489991214700002,o,i,1,0,-66.791467651600001,18.487382557899998,PRVI-9
9,800027137,-66.341616026400004,18.426533440200000,-66.352318584800003,18.430687405200000,o,i,1,0,-66.351698201600001,18.431145524400002,PRVI-10
10,800038823,-66.395190040399996,18.395454193199999,-66.372204766999999,18.437589405899999,o,i,1,1,-66.381688346800004,18.427500661800000,PRVI-11
11,800023734,-66.580333830499995,18.384425586999999,-66.526673744700005,18.427051692399999,o,i,1,0,-66.529112101400003,18.424961724700001,PRVI-12
12,800024468,-66.690780865500003,18.429463998500001,-66.696227134300003,18.435084400000001,o,i,1,0,-66.692093327899997,18.431353963999999,PRVI-13
13,800035217,-66.686550864099999,18.425403263300002,-66.693389531199998,18.425030032100000,o,i,1,0,-66.689148423899994,18.426053374500000,PRVI-14
14,800037400,-66.703845336300006,18.416859994599999,-66.703380308199996,18.419493996300002,o,i,1,0,-66.704103180399997,18.418242914000000,PRVI-15
15,800037403,-66.699623797100003,18.421359679999998,-66.697793534300004,18.410340458699999,i,o,-1,0,-66.696474682100003,18.418680159200001,PRVI-16
16,800039533,-66.710974699499999,18.415406223000002,-66.720143074700005,18.436156400000002,o,i,1,0,-66.714131871600003,18.422180950000001,PRVI-17
17,800032910,-66.918928336799993,18.470043672799999,-66.901488397600005,18.483306077000002,o,i,1,0,-66.902481055799996,18.479896703000001,PRVI-18
18,800034879,-66.994992825899999,18.446305464600002,-66.962717616399999,18.473550673100000,o,i,1,0,-66.964927854999999,18.471750186600001,PRVI-19
19,800032774,-66.987318224099994,18.484106009800001,-66.982246222699999,18.493518812700000,o,i,1,0,-66.982986953899996,18.491529914099999,PRVI-20
20,800032486,-67.150791007500004,18.476165805000001,-67.166810279600000,18.483126072699999,o,i,1,0,-67.161401808899996,18.477954123300002,PRVI-21
21,800025933,-66.814969968800000,18.368661644600000,-66.829144709000005,18.472916075099999,o,i,1,1,-66.828723783200005,18.434921598900001,PRVI-22
22,800031192,-66.495553204700002,18.408592795400001,-66.500040340300004,18.421773815200002,o,i,1,0,-66.495004358499997,18.409086561599999,PRVI-23
23,800035479,-66.500040340300004,18.421773815200002,-66.499402301100005,18.422391798400000,i,o,-1,0,-66.499590675199997,18.421907429299999,PRVI-24
24,800037607,-66.499402301100005,18.422391798400000,-66.526661150699994,18.427165016400000,o,i,1,1,-66.500041770300001,18.422676751499999,PRVI-25
25,800037633,-66.496463605499997,18.436059669500001,-66.503434872699998,18.438927328199998,o,i,1,0,-66.499385324399995,18.434737473100000,PRVI-26
26,800028782,-66.690780865500003,18.429463998500001,-66.696227134300003,18.435084400000001,o,i,1,0,-66.690693044499994,18.432913926499999,PRVI-27
27,800037377,-66.710886935500000,18.415393581000000,-66.705245090800005,18.419402486300001,o,i,1,0,-66.708769699800001,18.417185850599999,PRVI-28
28,800023984,-67.082489853799999,18.495526077699999,-67.102114260099995,18.512373016300000,o,i,1,0,-67.092404342999998,18.503891796000001,PRVI-29
29,800029015,-66.499897259299999,18.421689276199999,-66.499241352100000,18.422189885400002,i,o,-1,0,-66.499404533100005,18.421513043200001,PRVI-30
30,800036676,-67.081176924700003,18.106831594300001,-67.135402920800004,18.124817856800000,o,i,1,0,-67.126601477899996,18.115469775200001,PRVI-31
31,800023968,-67.098948828199994,18.282785293900002,-67.107128743700002,18.282858580799999,o,i,1,1,-67.099066680199996,18.282763175900001,PRVI-32
32,800032569,-67.114984867600000,18.367044049400000,-67.115400261900007,18.375069515800000,o,i,1,1,-67.115689129900005,18.373668354399999,PRVI-33
33,800034510,-67.192635617500002,18.303965020700002,-67.194304581899999,18.293243432499999,o,i,1,0,-67.191734498200006,18.298370995999999,PRVI-34
34,800038961,-67.131976196799997,18.190498788199999,-67.145506016100001,18.192204829500000,o,i,1,0,-67.140179996399993,18.191540617400001,PRVI-35
35,800028232,-67.126120398500007,18.395410381600001,-67.143970952100005,18.399893913600000,o,i,1,0,-67.128009859100004,18.394945514400000,PRVI-36
36,800038983,-67.141482603399993,18.401752783199999,-67.143970952100005,18.399893913600000,o,i,1,0,-67.142242333599995,18.401315928100001,PRVI-37
37,800038986,-67.133715400900002,18.397046448000001,-67.126120398500007,18.395410381600001,i,o,-1,1,-67.131987940399995,18.396629325900001,PRVI-38
38,800023936,-67.121267396899995,18.385350644700001,-67.126367986399998,18.383235504999998,o,i,1,0,-67.123423070499996,18.384825946500001,PRVI-39
39,800036866,-67.107830459599995,18.379778377299999,-67.115192958799994,18.377202753399999,o,i,1,0,-67.114016643499994,18.378393578800001,PRVI-40
40,800028277,-67.106934592200005,18.370152640499999,-67.115377718900007,18.374997783800001,o,i,1,0,-67.114968371700002,18.374818530700001,PRVI-41
41,800036865,-67.114931794900002,18.385430578800001,-67.118602728900001,18.377787332499999,o,i,1,1,-67.118577151899999,18.377941433600000,PRVI-42
42,800030389,-67.130666866799999,18.384787644399999,-67.130898799799994,18.381134643300001,i,o,-1,0,-67.131773480999996,18.381356545399999,PRVI-43
43,800038979,-67.148085653099997,18.384012524900001,-67.146034862400001,18.379678262700001,i,o,-1,0,-67.146228195500001,18.379819529700001,PRVI-44
44,800030292,-67.180469281800001,18.365761438000000,-67.187902542200007,18.369936138100002,o,i,1,0,-67.187719515100000,18.370008351199999,PRVI-45
45,800036733,-67.180108551900005,18.374618033600001,-67.188703482600005,18.377466309399999,o,i,1,0,-67.180292618899998,18.374524584600000,PRVI-46
46,800023796,-67.182404815599995,18.379013241900001,-67.186498568900006,18.377160550300001,o,i,1,0,-67.184709932299995,18.378025447599999,PRVI-47
47,800038874,-67.187698084100006,18.367593038500001,-67.187902542200007,18.369936138100002,o,i,1,0,-67.187846150100000,18.368052054600000,PRVI-48
48,800023765,-67.196580819800005,18.367051772200000,-67.199504832800002,18.373071442899999,o,i,1,0,-67.197331604100000,18.369513249899999,PRVI-49
49,800038839,-67.207371223099997,18.361709236399999,-67.209966890999993,18.366491237799998,o,i,1,0,-67.208486043500002,18.365240530400001,PRVI-50
50,800038829,-67.213613824800007,18.351795567400000,-67.211981224699997,18.372048973399998,o,i,1,0,-67.213076964899997,18.365566407500001,PRVI-51
51,800028116,-67.210721023999994,18.357913569299999,-67.209966890999993,18.366491237799998,o,i,1,0,-67.210877247200003,18.364888316300000,PRVI-52
52,800025946,-67.232443031000003,18.370159772499999,-67.231635830800002,18.373009839400002,o,i,1,0,-67.231826714799993,18.372192997100001,PRVI-53
53,800028106,-67.222175494699997,18.366489971600000,-67.222930828100004,18.374621840000000,o,i,1,0,-67.222886008000003,18.367533682900000,PRVI-54
