OID_,hl_link,long,lat,start_DomL,end_DomLoc,multInt,FlowDir,flag,hf_id,poi_id,hl_uri,flowpath_id,order_,TopWdth,TopWdthCC,START_X,START_Y,END_X,END_Y
1,HI1,-155.090696378792074,19.767943228883290,o,o,,1,outside,80000100002046.000000000000000,49,coastal-HI1,wb-525,1.000000000000000,3.380250566391910,10.140751699175700,-155.090696378792074,19.767943228883290,-155.090696378792074,19.767943228883290
2,HI2,-155.089522578499242,19.773239962701062,o,o,,1,outside,80000100002032.000000000000000,47,coastal-HI2,wb-194,1.000000000000000,7.323406727718810,21.970220183156400,-155.089522578499242,19.773239962701062,-155.089522578499242,19.773239962701062
3,HI3,-155.635690357948164,20.142848621773862,o,o,,1,outside,80000100000694.000000000000000,22,coastal-HI3,wb-250,1.000000000000000,7.943865361794760,23.831596085384302,-155.635690357948164,20.142848621773862,-155.635690357948164,20.142848621773862
4,HI4,-155.870775218159508,20.087828515128010,o,o,,1,outside,80000100002719.000000000000000,67,coastal-HI4,wb-59,1.000000000000000,5.374494276336090,16.123482829008299,-155.870775218159508,20.087828515128010,-155.870775218159508,20.087828515128010
5,HI5,-155.900334060877412,20.177453194295396,o,o,,1,outside,80000100002183.000000000000000,52,coastal-HI5,wb-85,1.000000000000000,4.719423993487510,14.158271980462500,-155.900334060877412,20.177453194295396,-155.900334060877412,20.177453194295396
6,HI6,-155.900311773524322,20.183766371201219,o,o,,1,outside,80000100002700.000000000000000,65,coastal-HI6,wb-502,1.000000000000000,6.516550267835460,19.549650803506399,-155.900311773524322,20.183766371201219,-155.900311773524322,20.183766371201219
7,HI7,-156.742089622375943,21.158314530199778,o,i,1,1,,80000500000274.000000000000000,296,coastal-HI7,wb-1998,1.000000000000000,7.347731039920250,22.043193119760801,-156.742729508999986,21.157625519000000,-156.741824508999997,21.158347385599999
8,HI8,-156.947786818634739,21.067474387193947,o,o,1,1,,80000500000940.000000000000000,351,coastal-HI8,wb-2003,1.000000000000000,6.895906302727580,20.687718908182699,-156.948333636999990,21.072171926399999,-156.950004903999996,21.063434993600001
9,HI9,-157.079019858446117,21.112998637455725,o,o,1,1,,80000500000190.000000000000000,290,coastal-HI9,wb-2005,2.000000000000000,9.113235575986440,27.339706727959300,-157.074566164999993,21.116313925499998,-157.087616164999986,21.109145992799998
10,HI10,-157.659850325557386,21.298386400935666,o,i,1,1,,80000600002758.000000000000000,537,coastal-HI10,wb-2753,1.000000000000000,5.266238646212130,15.798715938636400,-157.670320207999993,21.295823988900001,-157.657715609000007,21.297923722000000
11,HI11,-157.736100802952166,21.285201531116275,o,i,,1,,80000600001025.000000000000000,426,coastal-HI11,wb-3175,1.000000000000000,4.271219960031450,12.813659880094400,-157.732907339000008,21.320697588100000,-157.736099405999994,21.285128923700000
12,HI12,-157.736208150471583,21.285226683021712,o,i,,1,,80000600002740.000000000000000,532,coastal-HI12,wb-2764,1.000000000000000,4.215281209341790,12.645843628025400,-157.741421005999996,21.309534322200001,-157.736099405999994,21.285128923700000
13,HI14,-157.848403421008243,21.481489961859815,o,i,,1,,80000600000607.000000000000000,399,coastal-HI14,wb-2539,1.000000000000000,5.551541163465770,16.654623490397299,-157.859146998999989,21.479680713099999,-157.842878998999993,21.484560645900000
14,HI15,-157.871129280762545,21.554279063563715,o,i,,1,,80000600000599.000000000000000,396,coastal-HI15,wb-2516,1.000000000000000,2.978599083941420,8.935797251824249,-157.874490197000000,21.554433508599999,-157.871115530999987,21.554281308499998
15,HI16,-157.888765506254572,21.572675450659901,o,i,,1,,80000600000939.000000000000000,418,coastal-HI16,wb-2541,2.000000000000000,6.896358062402510,20.689074187207499,-157.893595995999988,21.570635241100000,-157.886497530000014,21.575543907400000
16,HI17,-159.658796301450167,21.962183762830552,o,i,,1,,80000700003953.000000000000000,609,coastal-HI17,wb-3348,3.000000000000000,15.677169008834801,47.031507026504400,-159.655247315999986,21.965737298099999,-159.665988649000013,21.951609499200000
17,HI18,-159.759135445443519,22.063612780680284,o,i,,1,,80000700002286.000000000000000,580,coastal-HI18,wb-3407,1.000000000000000,5.497412516001320,16.492237548003999,-159.757977110000013,22.063960225100001,-159.759223643000013,22.063547025199998
18,HI19,-155.091986278990618,19.725744854483608,o,i,0,1,,80000100000481.000000000000000,12,coastal-HI19,wb-175,3.000000000000000,20.597791467583701,61.793374402751098,-155.092785179999993,19.725758964499999,-155.091523512999999,19.725797831200001
19,HI20,-155.592824233847409,20.116093557303074,o,i,0,1,,80000100001797.000000000000000,45,coastal-HI20,wb-197,2.000000000000000,10.832002399345599,32.496007198036899,-155.594377159999993,20.112291622699999,-155.590912492999990,20.119639955600000
20,HI21,-155.826457284977266,19.980315563680954,o,i,0,1,,80000100000517.000000000000000,14,coastal-HI21,wb-153,1.000000000000000,6.019651273585420,18.058953820756301,-155.773496891000008,19.968742232899999,-155.827895555999987,19.980600566700002
21,HI22,-155.989066564265045,19.637928617132076,o,i,0,1,,80000100001107.000000000000000,31,coastal-HI22,wb-366,1.000000000000000,6.122253941632030,18.366761824896098,-155.986354092999989,19.638457853399998,-155.989060160000008,19.637923453399999
22,HI23,-155.602518833026892,18.984738163950436,o,i,0,1,,80000100002290.000000000000000,58,coastal-HI23,wb-79,1.000000000000000,2.878165237201000,8.634495711602989,-155.606112518999993,18.991625276099999,-155.602518586000002,18.971673410299999
23,HI24,-155.682530709403153,18.922814065393993,o,i,0,1,,80000100003707.000000000000000,95,coastal-HI24,wb-348,1.000000000000000,6.409569423365610,19.228708270096799,-155.677594719000012,18.936281613799999,-155.683337918999996,18.922813281200000
24,HI25,-155.646808796751003,18.935587677769558,o,i,0,1,,80000100000168.000000000000000,5,coastal-HI25,wb-447,1.000000000000000,4.788748722029560,14.366246166088700,-155.647314985999998,18.935656879700002,-155.646696119000012,18.935563212999998
25,HI26,-155.643978900990163,18.936794682643860,o,i,0,1,,80000100000679.000000000000000,21,coastal-HI26,wb-141,1.000000000000000,3.319338686203700,9.958016058611101,-155.653675119000013,18.952098612400000,-155.642485185999988,18.935281679599999
26,HI27,-155.634590553646575,18.944912835072778,o,i,0,1,,80000100001237.000000000000000,35,coastal-HI27,wb-821,1.000000000000000,3.650455592820190,10.951366778460599,-155.644748319000001,18.957364812000002,-155.633841386000000,18.943585612400000
27,HI28,-155.635052824571062,18.944170557858595,o,i,0,1,,80000100002272.000000000000000,55,coastal-HI28,wb-570,1.000000000000000,4.099768835546660,12.299306506640001,-155.654414384999995,18.961009878700001,-155.633841386000000,18.943585612400000
28,HI29,-155.633957779035399,18.945833045066117,o,i,0,1,,80000100003719.000000000000000,96,coastal-HI29,wb-17,1.000000000000000,3.301598505839650,9.904795517518959,-155.652839918000012,18.968423678299999,-155.632748386000003,18.942561612399999
29,HI30,-155.629737708151396,18.948282805848404,o,i,0,1,,80000100003259.000000000000000,85,coastal-HI30,wb-37,1.000000000000000,2.677760191179230,8.033280573537690,-155.639385118999996,18.959978278400001,-155.629472985999996,18.947635612100001
30,HI31,-155.626929568262540,18.952858025200111,o,i,0,1,,80000100002278.000000000000000,56,coastal-HI31,wb-519,1.000000000000000,4.447100479538740,13.341301438616201,-155.629372518999986,18.955159878400000,-155.626364985999999,18.952869278400001
31,HI32,-155.622500516192503,18.967066779688913,o,i,0,1,,80000100001762.000000000000000,44,coastal-HI32,wb-590,1.000000000000000,4.261789278616180,12.785367835848501,-155.639329118000006,18.978675810799999,-155.621492719000003,18.965959211000001
32,HI33,-155.622785688239190,18.966065884791931,o,i,0,1,,80000100001249.000000000000000,36,coastal-HI33,wb-818,1.000000000000000,3.715207073184400,11.145621219553201,-155.638728385000007,18.973386211099999,-155.621492719000003,18.965959211000001
33,HI34,-155.617140098143864,18.975526976060024,o,i,0,1,,80000100002794.000000000000000,72,coastal-HI34,wb-704,1.000000000000000,3.938863926191190,11.816591778573599,-155.635265984999990,18.985065277099999,-155.615386118999993,18.972533477199999
34,HI35,-155.618633238468050,18.972757993410820,o,i,0,1,,80000100002279.000000000000000,57,coastal-HI35,wb-478,1.000000000000000,2.738839365434380,8.216518096303149,-155.641335317999989,18.986150810500000,-155.615386118999993,18.972533477199999
35,HI36,-155.613412702877611,18.978757982039347,o,i,0,1,,80000100002801.000000000000000,73,coastal-HI36,wb-394,1.000000000000000,6.085311854971960,18.255935564915902,-155.614145519000004,18.981274676799998,-155.612302319000008,18.972639077099998
36,HI37,-155.524536337155439,19.117035261039728,o,i,0,1,,80000100000735.000000000000000,23,coastal-HI37,wb-249,1.000000000000000,11.860825967197300,35.582477901591801,-155.534146117000006,19.135105600999999,-155.524431983999989,19.113522601800000
37,HI38,-155.312155596788614,19.250636875289757,o,i,0,1,,80000100003354.000000000000000,88,coastal-HI38,wb-291,1.000000000000000,10.417273210245900,31.251819630737700,-155.333115784999990,19.269022056899999,-155.310831519999994,19.247631590699999
38,HI39,-155.303280623384552,19.258358152817401,o,i,0,1,,80000100002896.000000000000000,75,coastal-HI39,wb-239,1.000000000000000,7.115138360276030,21.345415080828101,-155.310263786000007,19.263077856700001,-155.301441186000005,19.258370656699999
39,HI40,-155.081271603409448,19.708734012935288,o,i,0,1,,80000100002044.000000000000000,48,coastal-HI40,wb-262,1.000000000000000,12.081537888660799,36.244613665982300,-155.083646581000011,19.702163365400001,-155.080172180999995,19.714177364800001
40,HI41,-155.086551553836756,19.718817619046597,o,i,0,1,,80000100003040.000000000000000,79,coastal-HI41,wb-45,1.000000000000000,5.589232386236600,16.767697158709801,-155.102187114000003,19.708287232200000,-155.076644114000004,19.720492964400002
41,HI42,-155.089817944991182,19.732649846877155,o,i,0,1,,80000100000468.000000000000000,10,coastal-HI42,wb-340,1.000000000000000,5.924234857653850,17.772704572961501,-155.099775779999987,19.732551230999999,-155.088943580000006,19.732856630800001
42,HI43,-155.090697525983103,19.734040074205250,o,i,0,1,,80000100003971.000000000000000,105,coastal-HI43,wb-4,1.000000000000000,4.313993001897130,12.941979005691399,-155.125015778999995,19.744897164299999,-155.090420779999988,19.734117164099999
43,HI44,-155.090212605162293,19.792526903559615,o,i,0,1,,80000100003528.000000000000000,93,coastal-HI44,wb-382,1.000000000000000,4.044244795463890,12.132734386391700,-155.097046978999998,19.792216428300001,-155.089840379000009,19.792575761500000
44,HI45,-155.090373316606701,19.804155002980050,o,i,0,1,,80000100000457.000000000000000,9,coastal-HI45,wb-156,1.000000000000000,3.782874864549930,11.348624593649800,-155.132918711000002,19.800776161900000,-155.090273177999990,19.804203561000001
45,HI46,-155.084853307184233,19.830625788486351,o,i,0,1,,80000100000491.000000000000000,13,coastal-HI46,wb-268,1.000000000000000,3.724537459101100,11.173612377303300,-155.090483110999998,19.833350226299999,-155.084623778000008,19.830554559700001
46,HI47,-155.084320568876251,19.851713928968227,o,i,0,1,,80000100001532.000000000000000,39,coastal-HI47,wb-422,1.000000000000000,4.140571867693380,12.421715603080100,-155.089811977000011,19.850236158900000,-155.083859778000004,19.851657758700000
47,HI48,-155.095630236823041,19.864553828620650,o,i,0,1,,80000100001004.000000000000000,29,coastal-HI48,wb-367,1.000000000000000,4.675942851379720,14.027828554139100,-155.098706310000011,19.861559025199998,-155.095547509999989,19.865072425000001
48,HI49,-155.098989385829157,19.867042438514577,o,i,0,1,,80000100003034.000000000000000,78,coastal-HI49,wb-488,1.000000000000000,4.347250227732940,13.041750683198799,-155.122252309999993,19.853166359399999,-155.098679177000008,19.868050158199999
49,HI50,-155.155559978564469,19.928281592254518,o,i,0,1,,80000100001457.000000000000000,38,coastal-HI50,wb-193,1.000000000000000,6.824916007812130,20.474748023436401,-155.160509708000006,19.923706356899999,-155.155456173999994,19.928390756599999
50,HI51,-155.157960769703067,19.931982782441935,o,i,0,1,,80000100001594.000000000000000,42,coastal-HI51,wb-108,1.000000000000000,3.486264978298250,10.458794934894801,-155.190813574000003,19.907004424899998,-155.157580373999991,19.932052023099999
