OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,poi_id,flowpath_id,nex_id,order_,TopWdth,TopWdthCC,START_X,START_Y,END_X,END_Y
1,02,conus,o,i,1,0,-73.397342551899996,44.907306472599998,LakeChamplain1,22378,wb-119717,nex-119718,2.000000000000000,13.859286219262600,41.577858657787701,-73.412150733499999,44.903735586800003,-73.393076660800006,44.907808788200001
10,02,conus,o,i,1,0,-73.413064403000007,43.889468772500003,LakeChamplain10,22809,wb-120464,nex-119631,1.000000000000000,8.067607085843591,24.202821257530800,-73.500828488899998,43.886727604100003,-73.395075855100004,43.899804610300002
11,02,conus,o,i,1,0,-73.414844858199999,43.850776255900001,LakeChamplain11,22891,wb-120482,nex-120483,4.000000000000000,21.601421222979400,64.804263668938205,-73.429973995400005,43.837307264499998,-73.431938796599994,43.844051465699998
12,02,conus,o,i,1,0,-73.438917271299999,43.619004904999997,LakeChamplain12,22899,wb-119619,nex-119620,4.000000000000000,31.825802812733102,95.477408438199305,-73.426886776700002,43.583055018899998,-73.423475777400000,43.610081757200000
13,02,conus,o,i,1,0,-73.502111589799995,43.525190901499997,LakeChamplain13,53818,wb-120541,nex-120542,1.000000000000000,8.755308015691851,26.265924047075600,-73.539068474299995,43.500090533100000,-73.506063398400002,43.522684138400002
14,02,conus,o,i,1,0,-73.465414558700004,43.551541962800002,LakeChamplain14,76055,wb-120547,nex-120545,1.000000000000000,8.159911754946890,24.479735264840699,-73.529720877200006,43.586434815700002,-73.461765185600001,43.546655477700000
15,02,conus,o,i,1,0,-73.390699987600001,43.574169093400002,LakeChamplain15,23076,wb-120610,nex-120611,3.000000000000000,22.395494950113299,67.186484850339994,-73.371098761300004,43.624937761799998,-73.401706034200004,43.569706750700000
16,02,conus,o,i,1,0,-73.321162027400007,44.204578822300000,LakeChamplain16,23920,wb-120709,nex-120710,4.000000000000000,34.565852761580203,103.697558284741007,-73.310145380700007,44.184887064300000,-73.321580652300000,44.201223533399997
17,02,conus,o,i,1,0,-73.383373090800006,44.368068258000001,LakeChamplain17,22923,wb-120932,nex-120933,4.000000000000000,22.635510726743298,67.906532180229803,-73.392838220399994,44.359260558800003,-73.391246287000001,44.365662360000002
18,02,conus,o,i,1,0,-73.177866420000001,44.487299787799998,LakeChamplain18,32050,wb-121009,nex-121010,4.000000000000000,35.891260184557702,107.673780553672998,-73.136952812700002,44.500063393100000,-73.202510767700005,44.500071323999997
19,02,conus,o,i,1,0,-73.442777497400002,44.557680332600000,LakeChamplain19,22930,wb-121280,nex-121281,4.000000000000000,28.153266273135799,84.459798819407297,-73.464113856799997,44.535402987099999,-73.437594849600003,44.557175991900003
2,02,conus,o,i,1,0,-73.427343135800001,44.834071472700003,LakeChamplain2,22418,wb-119724,nex-119725,1.000000000000000,4.289853352180070,12.869560056540200,-73.443828539300000,44.841379374699997,-73.436396669600001,44.832536173500003
20,02,conus,o,i,1,0,-73.197283942900000,44.522708391000002,LakeChamplain20,22956,wb-121010,nex-121011,4.000000000000000,35.894940054003797,107.684820162010993,-73.202510767700005,44.500071323999997,-73.213135238400000,44.507320791500000
21,02,conus,o,i,1,0,-73.269966999000005,44.324206349699999,LakeChamplain21,23053,wb-120918,nex-120919,1.000000000000000,7.041907509692340,21.125722529076999,-73.254709373200001,44.336745893200003,-73.282460182099996,44.333182691600001
22,02,conus,o,i,1,0,-73.250100478899995,44.257644245000002,LakeChamplain22,23057,wb-120916,nex-120917,1.000000000000000,5.754440896274250,17.263322688822800,-73.217609224399993,44.291169553200000,-73.263254370900000,44.265401880299997
23,02,conus,o,i,1,0,-73.441327445200002,44.182610817700002,LakeChamplain23,53642,wb-120675,nex-120676,1.000000000000000,7.415011498848720,22.245034496546200,-73.510583446100000,44.177407255500000,-73.449616693199999,44.183549458900004
24,02,conus,o,i,1,0,-73.431029237100006,44.142806887399999,LakeChamplain24,23059,wb-120673,nex-120674,1.000000000000000,7.174783276090730,21.524349828272200,-73.468107101300006,44.145826318600001,-73.426260282399994,44.140760852100001
25,02,conus,o,i,1,0,-73.453046697100007,44.111907956300001,LakeChamplain25,23062,wb-120670,nex-120671,1.000000000000000,6.894200616628140,20.682601849884399,-73.493098636699997,44.126514113799999,-73.445072819000004,44.099893644200002
26,02,conus,o,i,1,0,-73.387154797099996,44.037250362899997,LakeChamplain26,22902,wb-120442,nex-120443,1.000000000000000,5.395819250711880,16.187457752135700,-73.354770183799999,44.021764633600000,-73.376507459099997,44.042732303199998
27,02,conus,o,i,1,0,-73.428638007499998,43.898722606900002,LakeChamplain27,23092,wb-120668,nex-120669,1.000000000000000,6.128520789427330,18.385562368281999,-73.445170871200006,43.895032874300000,-73.414541395499995,43.910023078099996
28,02,conus,o,i,1,0,-73.353702382700007,43.864439561600001,LakeChamplain28,22780,wb-120467,nex-119630,1.000000000000000,5.878186321846590,17.634558965539799,-73.340867636100000,43.883637609399997,-73.381712448200005,43.864305004499997
29,02,conus,o,i,1,0,-73.349004173500006,43.847206586699997,LakeChamplain29,23113,wb-120468,nex-119629,1.000000000000000,6.382961680093780,19.148885040281300,-73.326777028099997,43.835525801300001,-73.375844178600005,43.849830802100001
3,02,conus,o,i,1,0,-73.072130551699999,44.999027520600002,LakeChamplain3,22538,wb-119781,nex-119782,2.000000000000000,13.817175863737701,41.451527591213100,-73.052425822299995,45.015740686299999,-73.072502560900006,44.996669815600001
30,02,conus,o,i,1,1,-73.360905075600002,43.823862713799997,LakeChamplain30,57242,wb-120662,nex-120663,3.000000000000000,11.834611045506700,35.503833136520100,-73.336557562500005,43.804365261999997,-73.375484177000004,43.828859864999998
31,02,conus,o,i,1,0,-73.395569296999994,43.800902469599997,LakeChamplain31,23119,wb-119625,nex-119626,4.000000000000000,32.706123696157000,98.118371088470894,-73.369710035699995,43.742422783000002,-73.383036378200003,43.811358061599996
32,02,conus,o,i,1,0,-73.356174432700001,43.721700539600000,LakeChamplain32,23177,wb-120532,nex-119624,1.000000000000000,5.214353914898820,15.643061744696499,-73.331666622800000,43.736394383300002,-73.369683634899999,43.731155647700000
33,02,conus,o,i,1,0,-73.366155192400001,43.705881126000001,LakeChamplain33,23182,wb-119622,nex-119623,4.000000000000000,32.226220175469301,96.678660526407796,-73.412480977399994,43.660971366799998,-73.376543569500001,43.717565778299999
34,02,conus,o,i,1,0,-73.426799422599998,43.663229689600001,LakeChamplain34,23932,wb-119621,nex-119622,4.000000000000000,31.964372134187101,95.893116402561404,-73.428551247599998,43.636338561800002,-73.412480977399994,43.660971366799998
35,02,conus,o,i,1,0,-73.389093502500003,43.648975015300003,LakeChamplain35,23276,wb-120537,nex-119622,1.000000000000000,6.878925975097470,20.636777925292400,-73.431357448699998,43.638621962099997,-73.415487977900000,43.654355232199997
36,02,conus,o,i,1,0,-73.442690734999999,43.638947322900002,LakeChamplain36,34968,wb-120536,nex-120537,1.000000000000000,5.482266867694150,16.446800603082501,-73.471032061900004,43.641454827799997,-73.431357448699998,43.638621962099997
37,02,conus,o,i,1,0,-73.400982090799999,43.552138514600003,LakeChamplain37,26448,wb-119616,nex-119617,4.000000000000000,26.351835638337999,79.055506915014107,-73.403131632200001,43.534044610899997,-73.400813632600006,43.551788947500000
38,02,conus,o,i,1,0,-73.504170537600004,43.527941317200003,LakeChamplain38,35331,wb-120542,nex-120543,2.000000000000000,9.642389286969349,28.927167860908000,-73.506063398400002,43.522684138400002,-73.498039662799997,43.528091806399999
39,02,conus,o,i,1,0,-73.391455973199996,43.733500063699999,LakeChamplain39,53856,wb-120530,nex-120531,1.000000000000000,8.494240096454950,25.482720289364899,-73.460030794199994,43.678253968200003,-73.382248439400001,43.736908048200000
4,02,conus,o,i,1,0,-73.146206201300004,44.822785608200000,LakeChamplain4,23914,wb-119933,nex-119918,1.000000000000000,3.115555555555560,9.346666666666669,-73.138075036399997,44.821448182700003,-73.145629638900004,44.820052382199997
40,02,conus,o,i,1,0,-73.365720571400004,43.913505042700002,LakeChamplain40,48593,wb-120465,nex-120466,1.000000000000000,5.781062490127150,17.343187470381501,-73.357890578400003,43.931816684099999,-73.374534048499996,43.901980611500001
41,02,conus,o,i,1,0,-73.431523056800003,43.954761011700000,LakeChamplain41,53644,wb-120455,nex-120454,1.000000000000000,6.627306885845650,19.881920657536899,-73.456398676700005,43.921320211900003,-73.436218005800001,43.955400285400003
42,02,conus,o,i,1,1,-73.386384425200006,43.969659032099997,LakeChamplain42,48664,wb-120444,nex-120445,1.000000000000000,5.353156476263620,16.059469428790901,-73.375227784700002,43.940529818300000,-73.399098861900001,43.978505624299999
43,02,conus,o,i,1,0,-73.459811164599998,44.010882251699996,LakeChamplain43,56858,wb-120434,nex-120435,1.000000000000000,7.583332122031120,22.749996366093399,-73.499245629699999,44.000064624399997,-73.454127215900002,44.013735495200002
44,02,conus,o,i,1,0,-73.440846267100000,43.987077173000003,LakeChamplain44,50037,wb-120440,nex-120441,1.000000000000000,5.935737194573460,17.807211583720399,-73.453450478999997,43.966891420200000,-73.442664611400005,44.003442893799999
