OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
334,,gl,o,i,1,,-81.927921514066611,42.342178062867333,LakeErie3,,86,wb-6310,tnx-1000000798,-81.901857004999997,42.313225721300000,-81.901608544799998,42.313070045200000,1.000000000000000,6.954276533704140,20.862829601112399,0
339, ,gl,i,o,-1,0,-79.211957160994132,43.063203890746991,LakeErie339,,512,wb-5244,nex-5245,-79.212813688899999,43.046071603100003,-79.203391425500001,43.101516297300002,4.000000000000000,25.280552416659201,75.841657249977601,0
340, ,gl,o,i,1,1,-79.747155308270806,42.994091103921335,LakeErie340,,309,wb-5259,nex-5252,-79.752464320000001,42.992514756100000,-79.679511396199999,42.993070361900003,1.000000000000000,6.375616088129750,19.126848264389199,0
341, ,gl,o,i,1,0,-79.719223297217354,43.027644013560405,LakeErie341,,262,wb-5258,nex-5251,-79.807146482700006,43.028292940800000,-79.697214294999995,43.005514839400000,1.000000000000000,8.017029780534999,24.051089341605000,0
342, ,gl,o,i,1,0,-79.752470777304495,42.997509756170359,LakeErie342,,303,wb-5257,nex-5250,-79.791014026900001,42.992737291799997,-79.723054759600004,43.005292597000000,1.000000000000000,6.559759329626100,19.679277988878301,0
343, ,gl,o,i,1,0,-79.747260104470229,43.017353347479059,LakeErie343,,289,wb-5248,nex-5249,-79.799579933000004,43.016848466399999,-79.724196882100003,43.006070376899999,2.000000000000000,7.610720591652550,22.832161774957601,0
344, ,gl,o,i,1,0,-79.755614326040302,43.005188568897381,LakeErie344,,267,wb-5256,nex-5249,-79.786873841100004,43.007515108900002,-79.724196882100003,43.006070376899999,1.000000000000000,6.475969200942030,19.427907602826100,0
345, ,gl,o,i,1,0,-79.741666666683273,42.963292454383293,LakeErie345,,366,wb-5262,nex-5263,-79.745468750399993,42.963292453599998,-79.695358228100005,42.963848030299999,1.000000000000000,5.967127798479560,17.901383395438700,0
346, ,gl,o,i,1,0,-79.722385486201176,43.061181700375244,LakeErie346,,406,wb-5278,nex-5234,-79.726053008099996,43.063070592999999,-79.710348830599997,43.053737238099998,2.000000000000000,8.211962418085720,24.635887254257099,0
347, ,gl,o,i,1,1,-79.761042123095478,43.044403825975849,LakeErie347,,266,wb-5270,nex-5269,-79.794583157800005,43.042181867099998,-79.748324295700002,43.047403847100000,1.000000000000000,6.655188171902540,19.965564515707602,0
348, ,gl,o,i,1,0,-79.773969832541695,43.050848558414316,LakeErie348,,265,wb-5268,nex-5269,-79.837983739500004,43.050959666099999,-79.748324295700002,43.047403847100000,1.000000000000000,6.513699267479120,19.541097802437399,0
349, ,gl,o,i,1,1,-79.796729557423077,43.065630204970034,LakeErie349,,403,wb-5275,nex-5233,-79.822136819199997,43.077737515599999,-79.773025634099994,43.061404141300002,2.000000000000000,8.265594588558860,24.796783765676601,0
350, ,gl,o,i,1,0,-79.692317410819840,43.055148209921981,LakeErie350,,308,wb-5280,nex-5281,-79.703353401699999,43.070737310399998,-79.651101312899996,43.038848342000001,1.000000000000000,7.600543563442480,22.801630690327400,0
351, ,gl,o,i,1,0,-79.659595022392352,43.052681059283486,LakeErie351,,271,wb-5282,nex-5281,-79.657954093200004,43.056848408500002,-79.651101312899996,43.038848342000001,1.000000000000000,6.136393497350670,18.409180492051998,0
