OID_,long,lat,hl_link,domain,END_X,END_Y,START_X,START_Y,start_DomLoc,end_DomLoc,FlowDir,multInt,flag,poi_id,flowpath_id,order_,TopWdth,TopWdthCC,nex_id
1,-66.437966837399586,17.994575475677721,PRVI1,PRVI,-66.449248650000001,17.984269938099999,-66.424020576100006,18.015449280999999,o,i,1,, ,231,wb-613,2.000000000000000,10.102126359570301,30.306379078711000,nex-614
2,-67.129120243704222,18.100965274627754,PRVI2,PRVI,-67.134797930900007,18.104952965999999,-67.129117994699996,18.100965761699999,i,i,1,,inside domain,469,wb-3967,1.000000000000000,3.115555555555560,9.346666666666669,nex-513
3,-65.803665052699955,18.125030923038707,PRVI3,PRVI,-65.796167784399998,18.123029922699999,-65.803665053399996,18.125030923200001,i,i,1,,inside domain,290,wb-2873,1.000000000000000,3.163039113897800,9.489117341693390,nex-2874
4,-65.805497510401722,18.138388530006694,PRVI4,PRVI,-65.804432387099993,18.135557192899999,-65.817260591299998,18.147055529399999,o,i,1,,,265,wb-440,2.000000000000000,10.262048612700999,30.786145838102900,nex-441
5,-65.892998207201458,18.371098403968233,PRVI5,PRVI,-65.902611589599999,18.390158517000000,-65.898328834599994,18.357642741999999,o,i,1,, ,337,wb-528,1.000000000000000,9.888097665146210,29.664292995438601,nex-529
6,-66.231323095284552,18.383712203255641,PRVI6,PRVI,-66.236298991300004,18.385465792600002,-66.231179425099995,18.383589416100001,o,i,1,, ,459,wb-596,1.000000000000000,7.791902291303360,23.375706873910101,nex-597
7,-66.491063956736184,18.393492003153483,PRVI7,PRVI,-66.495553204900006,18.408592795200001,-66.491452203400002,18.391487390300000,o,i,1,,,448,wb-315,4.000000000000000,19.329266986833900,57.987800960501801,nex-316
8,-66.104469056801463,18.407332662072747,PRVI8,PRVI,-66.104468884400006,18.407335867800001,-66.108612885599996,18.398758998500000,o,o,1,,outside domain,390,wb-1136,1.000000000000000,4.974134239255860,14.922402717767600,tnx-1000000423
9,-66.495691004636114,18.408401795006910,PRVI9,PRVI,-66.495618871600001,18.408511995200001,-66.495446361099994,18.403242065499999,o,o,1,,outside domain,191,wb-1784,1.000000000000000,3.115555555555560,9.346666666666669,nex-1785
10,-66.381688345640612,18.427500661326519,PRVI10,PRVI,-66.372204767499994,18.437589405699999,-66.395190040499998,18.395454192999999,o,i,1,, ,197,wb-568,2.000000000000000,11.512836494990101,34.538509484970298,nex-569
11,-66.828723779978418,18.434921597054085,PRVI11,PRVI,-66.829144708699999,18.472916075400001,-66.814969969200007,18.368661645100001,o,i,1,, ,522,wb-857,1.000000000000000,13.150310799176500,39.450932397529499,nex-858
12,-66.982383761401422,17.976787649130756,PRVI12,PRVI,-66.984007779099997,17.973149061899999,-66.980971547099998,17.982488662600002,o,i,1,0,,15,wb-280,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000143
13,-65.495574826816778,18.134691214727809,PRVI13,PRVI,-65.495693691900001,18.135463731200002,-65.494114291200006,18.124102794599999,o,i,1,0,,204,wb-199,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000595
14,-66.895398870761255,17.952499895154062,PRVI14,PRVI,-66.895195186799995,17.951270454700001,-66.897992921099998,17.960017657300000,o,i,1,0,,226,wb-193,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000187
15,-66.704252016817065,17.983335503230933,PRVI15,PRVI,-66.704773062000001,17.982499066900001,-66.691515257999995,17.988018735400001,o,i,1,0,,242,wb-186,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000245
16,-65.488441666049994,18.134278285614414,PRVI16,PRVI,-65.489928756799998,18.136180931500000,-65.488500756199997,18.124516994800000,o,i,1,0,,272,wb-168,1.000000000000000,3.155001933219390,9.465005799658170,tnx-1000000596
17,-67.132474116886954,17.959489174286034,PRVI17,PRVI,-67.137549061399994,17.952255851299999,-67.130722393200003,17.986440861399998,o,i,1,0,,366,wb-126,1.000000000000000,4.075124929025750,12.225374787077200,tnx-1000000081
18,-66.713244225540564,17.992095257889900,PRVI18,PRVI,-66.714377531799997,17.991028269299999,-66.698563660299996,17.995516270800000,o,i,1,0,,497,wb-66,1.000000000000000,3.880315336483610,11.640946009450801,tnx-1000000242
19,-65.836936192151484,18.028648087339434,PRVI19,PRVI,-65.831734460299998,18.028233294200000,-65.843210997100002,18.024557359599999,o,i,1,0,,579,wb-39,1.000000000000000,3.487321922916070,10.461965768748200,tnx-1000000542
20,-65.419647857062898,18.154031057986970,PRVI20,PRVI,-65.422045536300004,18.158696005900001,-65.414769533799998,18.146170002400002,o,i,1,0,,699,wb-1,1.000000000000000,3.251269421069800,9.753808263209390,tnx-1000000613
21,-65.470798698700946,18.140347167088123,PRVI21,PRVI,-65.470453484299995,18.143203800599998,-65.474316485200006,18.130623730200000,o,i,1,0,,315,wb-156,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000600
22,-65.514745152366856,18.125162842790985,PRVI22,PRVI,-65.518142831999995,18.128105728700000,-65.502035893499993,18.117150325699999,o,i,1,0,,317,wb-155,1.000000000000000,3.303277096185290,9.909831288555861,tnx-1000000593
