------------------------------------------------------------
 Model:        tpxo10_atlas
 Constituents included: m2 s2 k1 o1 n2 p1 k2 q1 2n2 mf mm m4 ms4 mn4 s1

     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)


------------------------------------------------------------
 Model:        a/TPXO/Model_tpxo10_atlas
 Constituents included: m2  s2  k1  o1  n2  p1  k2  q1  2n2 mf  mm  m4  ms4 mn4 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    28.3114  -96.4250     01.11.2023 00:00:00     0.121    11.540
    28.3114  -96.4250     01.11.2023 00:10:00     0.127    11.540
    28.3114  -96.4250     01.11.2023 00:20:00     0.132    11.540
    28.3114  -96.4250     01.11.2023 00:30:00     0.136    11.540
    28.3114  -96.4250     01.11.2023 00:40:00     0.140    11.540
    28.3114  -96.4250     01.11.2023 00:50:00     0.143    11.540
    28.3114  -96.4250     01.11.2023 01:00:00     0.145    11.540
    28.3114  -96.4250     01.11.2023 01:10:00     0.147    11.540
    28.3114  -96.4250     01.11.2023 01:20:00     0.149    11.540
    28.3114  -96.4250     01.11.2023 01:30:00     0.150    11.540
    28.3114  -96.4250     01.11.2023 01:40:00     0.150    11.540
    28.3114  -96.4250     01.11.2023 01:50:00     0.151    11.540
    28.3114  -96.4250     01.11.2023 02:00:00     0.151    11.540
    28.3114  -96.4250     01.11.2023 02:10:00     0.151    11.540
    28.3114  -96.4250     01.11.2023 02:20:00     0.150    11.540
    28.3114  -96.4250     01.11.2023 02:30:00     0.149    11.540
    28.3114  -96.4250     01.11.2023 02:40:00     0.148    11.540
    28.3114  -96.4250     01.11.2023 02:50:00     0.147    11.540
    28.3114  -96.4250     01.11.2023 03:00:00     0.146    11.540
    28.3227  -96.3661     01.11.2023 00:00:00     0.120    12.507
    28.3227  -96.3661     01.11.2023 00:10:00     0.126    12.507
    28.3227  -96.3661     01.11.2023 00:20:00     0.131    12.507
    28.3227  -96.3661     01.11.2023 00:30:00     0.135    12.507
    28.3227  -96.3661     01.11.2023 00:40:00     0.139    12.507
    28.3227  -96.3661     01.11.2023 00:50:00     0.142    12.507
    28.3227  -96.3661     01.11.2023 01:00:00     0.144    12.507
    28.3227  -96.3661     01.11.2023 01:10:00     0.146    12.507
    28.3227  -96.3661     01.11.2023 01:20:00     0.148    12.507
    28.3227  -96.3661     01.11.2023 01:30:00     0.149    12.507
    28.3227  -96.3661     01.11.2023 01:40:00     0.150    12.507
    28.3227  -96.3661     01.11.2023 01:50:00     0.150    12.507
    28.3227  -96.3661     01.11.2023 02:00:00     0.150    12.507
    28.3227  -96.3661     01.11.2023 02:10:00     0.150    12.507
    28.3227  -96.3661     01.11.2023 02:20:00     0.150    12.507
    28.3227  -96.3661     01.11.2023 02:30:00     0.149    12.507
    28.3227  -96.3661     01.11.2023 02:40:00     0.148    12.507
    28.3227  -96.3661     01.11.2023 02:50:00     0.147    12.507
    28.3227  -96.3661     01.11.2023 03:00:00     0.146    12.507
    28.3624  -96.2886     01.11.2023 00:00:00     0.119    14.991
    28.3624  -96.2886     01.11.2023 00:10:00     0.125    14.991
    28.3624  -96.2886     01.11.2023 00:20:00     0.130    14.991
