------------------------------------------------------------
 Model:        tpxo10_atlas
 Constituents included:

     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)


------------------------------------------------------------
 Model:        a/TPXO/Model_tpxo10_atlas
 Constituents included: m2  s2  k1  o1  n2  p1  k2  q1  2n2 mf  mm  m4  ms4 mn4 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    28.3114  -96.4250     05.11.2020 00:00:00    -0.033    11.540
    28.3114  -96.4250     05.11.2020 00:10:00    -0.047    11.540
    28.3114  -96.4250     05.11.2020 00:20:00    -0.060    11.540
    28.3114  -96.4250     05.11.2020 00:30:00    -0.074    11.540
    28.3114  -96.4250     05.11.2020 00:40:00    -0.088    11.540
    28.3114  -96.4250     05.11.2020 00:50:00    -0.103    11.540
    28.3114  -96.4250     05.11.2020 01:00:00    -0.117    11.540
    28.3114  -96.4250     05.11.2020 01:10:00    -0.132    11.540
    28.3114  -96.4250     05.11.2020 01:20:00    -0.147    11.540
    28.3114  -96.4250     05.11.2020 01:30:00    -0.161    11.540
    28.3114  -96.4250     05.11.2020 01:40:00    -0.176    11.540
    28.3114  -96.4250     05.11.2020 01:50:00    -0.190    11.540
    28.3114  -96.4250     05.11.2020 02:00:00    -0.204    11.540
    28.3114  -96.4250     05.11.2020 02:10:00    -0.218    11.540
    28.3114  -96.4250     05.11.2020 02:20:00    -0.232    11.540
    28.3114  -96.4250     05.11.2020 02:30:00    -0.245    11.540
    28.3114  -96.4250     05.11.2020 02:40:00    -0.257    11.540
    28.3114  -96.4250     05.11.2020 02:50:00    -0.269    11.540
    28.3114  -96.4250     05.11.2020 03:00:00    -0.281    11.540
    28.3114  -96.4250     05.11.2020 03:10:00    -0.292    11.540
    28.3114  -96.4250     05.11.2020 03:20:00    -0.302    11.540
    28.3114  -96.4250     05.11.2020 03:30:00    -0.312    11.540
    28.3114  -96.4250     05.11.2020 03:40:00    -0.321    11.540
    28.3114  -96.4250     05.11.2020 03:50:00    -0.329    11.540
    28.3114  -96.4250     05.11.2020 04:00:00    -0.336    11.540
    28.3114  -96.4250     05.11.2020 04:10:00    -0.343    11.540
    28.3114  -96.4250     05.11.2020 04:20:00    -0.349    11.540
    28.3114  -96.4250     05.11.2020 04:30:00    -0.354    11.540
    28.3114  -96.4250     05.11.2020 04:40:00    -0.358    11.540
    28.3114  -96.4250     05.11.2020 04:50:00    -0.361    11.540
    28.3114  -96.4250     05.11.2020 05:00:00    -0.364    11.540
    28.3114  -96.4250     05.11.2020 05:10:00    -0.365    11.540
    28.3114  -96.4250     05.11.2020 05:20:00    -0.366    11.540
    28.3114  -96.4250     05.11.2020 05:30:00    -0.366    11.540
    28.3114  -96.4250     05.11.2020 05:40:00    -0.365    11.540
    28.3114  -96.4250     05.11.2020 05:50:00    -0.363    11.540
    28.3114  -96.4250     05.11.2020 06:00:00    -0.360    11.540
    28.3114  -96.4250     05.11.2020 06:10:00    -0.356    11.540
    28.3114  -96.4250     05.11.2020 06:20:00    -0.352    11.540
    28.3114  -96.4250     05.11.2020 06:30:00    -0.346    11.540
    28.3114  -96.4250     05.11.2020 06:40:00    -0.340    11.540
